,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Actividad,Descripción,Precio,Ciudad
0,0,0,0,Excursión al Caminito del Rey,En estaexcursión al Caminito del Reyviajaremos desde Málaga auna de las principales atracciones turísticas de la provincia. ¡Os enamoraréis de su belleza!,59.0,malaga
1,1,1,1,Free tour por Málaga,"La Catedral, la casa de Picasso… Estos son algunos de los puntos que veremos en estefree tour por Málaga. ¡Os enamoraréis de la capital de la Costa del Sol!",0.0,malaga
2,2,2,2,Tour de Málaga al completo con entradas,En estetour por Málaga al completo con entradasconoceremos los secretos de la ciudad y accederemos ala alcazaba árabe y al teatro romanosin esperar colas.,36.0,malaga
3,3,3,3,Excursión a Ronda y Setenil,"Si os gusta la historia, no podéis perderos estaexcursión a Ronda y Setenil de las Bodegas. Visitaremos dos de los pueblos más bellos de la provincia.",33.0,malaga
4,4,4,4,Visita guiada por la alcazaba y el teatro romano,Lavisita guiada por la alcazaba y el teatro romanonos permitirá adentrarnos en la historia de Málaga conociendo dos de susmonumentos antiguos más destacados.,15.0,malaga
5,5,5,5,Traslados en Málaga,"Servicioprivado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",30.5,malaga
6,6,6,6,Excursión a Marbella y Mijas,En estaexcursión a Marbella y Mijasdescubriremos ellujo de la Costa del Sol. Visitaremos un pueblo blanco yuno de los puertos más exclusivos de España.,36.0,malaga
7,7,7,7,"Excursión a Nerja, Frigiliana y El Acebuchal","Si quieresvisitar Nerja y conocer dos de los pueblos más bonitos de Málaga, esta excursión es la solución. Disfrutarás en un día inolvidable.",75.0,malaga
8,8,8,8,Excursión a Gibraltar,"En estaexcursión a Gibraltarharemos untour panorámico por el Peñón, visitaremos lacueva de San Miguely conoceremos a losmonos de esta colonia británica.",79.0,malaga
9,9,9,9,Free tour por la Alcazaba y el Teatro Romano,"Sumérgete en la Historia visitando unantiguo teatro romanocon este free tour que incluye unavisita a la Alcazaba de Málaga, un fortín del periodo musulmán.",0.0,malaga
10,10,10,10,Visita guiada por el Museo Picasso,Con esta visita guiada por elMuseo Picasso de Málagadescubriremos la obra de uno de los grandes pintores del siglo XX. ¡Incluye entradaa la pinacoteca!,25.0,malaga
11,11,11,11,Tour teatralizado nocturno por el Cementerio Inglés,"En estetour teatralizado nocturno por el Cementerio Inglés de Málagaos contaremos terribles historias denaufragios, fusilamientos y muertes indignas.",15.0,malaga
12,12,12,12,Tarjeta eSIM Civitatis España,"Si vais aviajar por España, con estatarjeta eSIM con Internetpodréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.1,malaga
13,13,13,13,Excursión a Frigiliana y Nerja,En estaexcursión desde Málagadescubriremos la esencia andaluza visitando lascasas blancas de Frigilianay exploraremos labelleza natural de Nerja.,45.0,malaga
14,14,14,14,Paseo en catamarán por la bahía de Málaga,¿Buscando planes en lacapital de la Costa del Sol? En estepaseo en catamarán por la bahía de Málagadisfrutaremos de una inolvidable travesía mediterránea.,13.0,malaga
15,15,15,15,Excursión a Córdoba con visita a la Mezquita,"Descubre con nosotrosla huella del antiguo esplendor del Califato de Córdoba, una de las ciudades más bonitas y con más historia de España.",91.0,malaga
16,16,16,16,Free tour de los misterios y leyendas de Málaga,"Al ocaso, lacapital de la Costa del Solse transforma en un cúmulo de misterios. Dejaos sorprender en estefree tour de los misterios y leyendas de Málaga.",0.0,malaga
17,17,17,17,Entrada al Museo Picasso Málaga,Adquiriendo laentrada al Museo Picasso Málagaos sumergiréis en larica trayectoria artística del genio ensu ciudad natal. ¡Podréis explorarmás de 140 obras!,12.0,malaga
18,18,18,18,Free tour nocturno por Málaga,Disfruta de la belleza de Málaga iluminadacon este free tour nocturno por el centro de la ciudad. ¡Contemplarás sus monumentos bajo las estrellas!,0.0,malaga
19,19,19,19,Tour privado por Málaga ¡Tú eliges!,En estetour privado por Málagadisfrutaréis de losgrandes atractivos de la capital de la Costa del Solcon unguía en español solo para vosotros.,120.0,malaga
20,20,20,20,Autobús turístico de Málaga,Elautobús turístico de Málagaes una forma práctica de recorrer la hermosa capital de la Costa del Sol. Podréissubir y bajar en cualquiera de sus paradas.,25.0,malaga
