,Nombre Hotel,Talla,Puntuacion media,Detalles extra,Precio,Proveedor,URL,Ciudad
0,Hotel Exe Oviedo Centro,Nan,4.0,Nan,131.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=32477423&geo=487636&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=1&silo=47212&bucket=995258&nrank=1&crank=1&clt=SLMM&ttype=SponsoredMobileMeta&tm=309352839&managed=false&capped=false&gosox=qqwAk-DM9lW3k3mX9Df7bBq2KQ0uQMdxfVpNdiIveXafc_2nX5_mn0PngewFWWukXpSJExSI_ruyLp6FaamewezXFvQBeQ8jwcVZfjPUKEgLmJKrwTGXKU2I_nlJso2o5yMaraPpulJVJCItlv7kac7JqOA1UFnxx4VxcyEyJUYpI6kXaXv8eaCYxa0_TCXBB3di71pCSrwTTGt2Lhri2ZiYikf1u1fQmNHDJuGomD1IED70EdIQfxjs505jFgoo&priceShown=131&pm=AI&hac=AVAILABLE&mbl=LOSE&mbldelta=2391&rq=P&rate=119.09&taxesRate=11.9100&feesRate=0&fees=11.9100&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_3b88175be3d0ed66ae9fa6e6682e2426&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=a05147be-0c5a-479f-b074-1cb9a4ad53d6&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=15536cd71a1bde393fbcacdf8fa8cc118&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=5d3eaf78aec54d14899b20c73634883a&tp=APS-Hotels&pageLocId=187449&area=Spons%7CSpons_Meta_Pref",Asturias
1,1. Barceló Oviedo Cervantes,SMALL,4.5,Nan,168.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=32453909&geo=656724&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=4&silo=10476&bucket=902999&nrank=1&crank=1&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=QhDQ9pEvZgzGicnQKUA02WFhESEzyOiVFgAx-HofAbfZ3CI0d04AOHECbcMndTQP3x7-x5ATsJ2IjnHxKUaxI16UiRMUiP67si6ehWmpnsHs1xb0AXkPI8HFWX4z1ChIv3DTkcx0ObjTHBt3afO5pHgfzkh9GDkIxaGNE0TNSKdgsmLIradlFJu19zsSXFstyow0gI2swQyNvWNhSmwPmbplKvCo5K6eMhG0Rd-zUeI_VRFboKrE1faivzpQBFp3A2IVhz5_ID-eDpJ7wTLHYA&priceShown=168&pm=AI&hac=AVAILABLE&mbl=LOSE&mbldelta=1739&rq=P&rate=152.28&taxesRate=15.2300&feesRate=0&fees=15.2300&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_2ee290bd71b61850efdc077ae03f6d51&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=c2ccb2d7-c47a-439d-9801-30237a89b45a&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=1f7199aecf8d04f81dbbaf7150509ecb4&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=590e0cdb4686403eac2cfeb0d399c055&tp=APS-Hotels&pageLocId=187449",Asturias
2,2. Maria Manuela Hotel & Spa,SMALL,4.0,Nan,170.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=32492134&geo=1432230&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=5&silo=10476&bucket=902999&nrank=1&crank=1&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=QhDQ9pEvZgzGicnQKUA02WFhESEzyOiVFgAx-HofAbfZ3CI0d04AOHECbcMndTQPkjLOrmzQE2QXvkELuiP68l6UiRMUiP67si6ehWmpnsHs1xb0AXkPI8HFWX4z1ChIhrTVoF3IKBK08SMQOyBO6qfs9IWjs7-01TTlqKOmGVXTlTFXtTl7cJOfYgVSAYadjK1RN-GKfh5FEImBEO3W8rplKvCo5K6eMhG0Rd-zUeI_VRFboKrE1faivzpQBFp3A2IVhz5_ID-eDpJ7wTLHYA&priceShown=169&pm=AI&hac=AVAILABLE&mbl=LOSE&mbldelta=652&rq=P&rate=154.08&taxesRate=15.4100&feesRate=0&fees=15.4100&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_7e8009acf871efb47056b84bdaa6c821&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=374d117b-fe97-4ded-ae9b-b6e534a3361f&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=1235415349659972222ad2e0417cb5f7a&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=2dd715d95b9f4923933c252381393b18&tp=APS-Hotels&pageLocId=187449",Asturias
3,3. Eurostars Palacio de Cristal,SMALL,4.5,Nan,141.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=34816267&geo=2100227&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=5&silo=10476&bucket=902999&nrank=1&crank=1&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=MWEI7XimvD83DqQuELQVo2FhESEzyOiVFgAx-HofAbcGDvb3DPhnHJQ68DeGFLWr3JY5plkhifF_D54CU7IOul6UiRMUiP67si6ehWmpnsHs1xb0AXkPI8HFWX4z1ChIbQSaj8sf0fRJeC0VtbjkdNHtyF_J_qnwcY4CaFdZ602pYVn3eicuOnyZyti8XTzvICY4bIXgD_jIrxP0VNv9GLplKvCo5K6eMhG0Rd-zUeI_VRFboKrE1faivzpQBFp3A2IVhz5_ID-eDpJ7wTLHYA&priceShown=141&pm=AI&hac=AVAILABLE&mbl=LOSE&mbldelta=2717&rq=P&rate=127.73&taxesRate=12.7800&feesRate=0&fees=12.7800&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_f2764b664b562377c70844eccf9cdaf&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=6aca178f-f286-4357-8be4-58b30e6182de&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=120a4646c48d64b3067fe11a1a24dff14&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=b343301a062f423e94bc7832ab745892&tp=APS-Hotels&pageLocId=187449",Asturias
4,4. Hotel Cerro La Nina,SMALL,4.5,Nan,111.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=151558241&geo=17437813&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=4&silo=10476&bucket=902999&nrank=1&crank=1&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=QhDQ9pEvZgzGicnQKUA02WFhESEzyOiVFgAx-HofAbfZ3CI0d04AOHECbcMndTQPfBdorSR6Emm1-SjTqXjlVl6UiRMUiP67si6ehWmpnsHs1xb0AXkPI8HFWX4z1ChI5ocYlzhhU8SBXXsmb9olmIjZuzV0QUc4e7iouyBA5xgkNA1i5kySrSQyuj2jkxdrLjfZh83cP6YjqjpT6WLuljHjNSZtxZyblyQhFkB6WoQGxWINzrIhtvuKVgCBluZj-4pGqCzbkPhtXx_pUpIhgg&priceShown=110&pm=AI&hac=AVAILABLE&mbl=LOSE&mbldelta=1847&rq=P&rate=99.49&taxesRate=10.9100&feesRate=0&fees=10.9100&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_708a67cb507817af73c0f4cb117d5df3&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=d8f43f62-883e-401f-be42-6dbe68749a26&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=1f9a6bf6e6c03b8f92c3c3c7d5e421234&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=0eef622d2f2344879a823de160621c96&tp=APS-Hotels&pageLocId=187449",Asturias
5,5. ARTIEM Asturias,SMALL,4.5,Nan,144.0,Vio.com,"https://www.tripadvisor.in/Commerce?p=Vio&src=241249220&geo=1764414&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=5&silo=47458&bucket=997778&nrank=2&crank=5&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=ujC7YpeIwtGt5I64dtt8Yarl3IbQNYJb26Ca5uECY8p4fSsavvtt8hvp1nmKxJ2TJUMWo0oEr0Q1rP5FPwhgyCfVT-NsZdAr_286iw672kmmcb5IFbnSYM1iVD_jmIQpNArJm_vqAssVLZ5_oJX2bihQzmNCA94jjs2qzmXHal8Lz1ofyEz61iUhUcHdfKCW8KxbdD7FqRhn83F6Z8QFJm23NgC94qV3zn83OlUcz9AJIruoSdkvfnFBHVP8Q8D9mJiKR_W7V9CY0cMm4aiYPUgQPvQR0hB_GOznTmMWCig&priceShown=143&pm=AI&hac=AVAILABLE&mbl=BEAT&mbldelta=0&rq=P&rate=131.11&taxesRate=12.1400&feesRate=0&fees=12.1400&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_5738a8f289a498bd11e998e58d679145&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=e068ddfd-2397-49e8-bc5b-53d739d9a4eb&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=131d8bf3d93491b15b266ff304171620c&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=c76db4dc5c9b477191e403c8f11765db&tp=APS-Hotels&pageLocId=187449",Asturias
6,Hotel Asturias,Nan,3.5,Nan,183.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=32466710&geo=535329&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=1&silo=47212&bucket=995258&nrank=1&crank=1&clt=SLMM&ttype=SponsoredMobileMeta&tm=309352839&managed=false&capped=false&gosox=qqwAk-DM9lW3k3mX9Df7bBq2KQ0uQMdxfVpNdiIveXZHV3XoKvGJqepC8pBKlaj7XpSJExSI_ruyLp6FaamewezXFvQBeQ8jwcVZfjPUKEiw7gmvf8JGsYxLJ_u85X0H5yMaraPpulJVJCItlv7kaToVMFGLWHZWb0vHjzlU-nF88YhXPXy9pkqQFOfMTM42brmDAgWbq39ycXSWVV0r2piYikf1u1fQmNHDJuGomD1IED70EdIQfxjs505jFgoo&priceShown=182&pm=AI&hac=AVAILABLE&mbl=MEET&mbldelta=0&rq=P&rate=165.46&taxesRate=16.5500&feesRate=0&fees=16.5500&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_3ced019685354183cb63e446347737a6&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=56f6ea6c-ec10-4979-bf62-a3fd24b3d084&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=170020888c247f7e32718808ffa3ca91e&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=cbcd9e2aec554c10ab99f7d78d1d33c5&tp=APS-Hotels&pageLocId=187449&area=Spons%7CSpons_Meta_Pref",Asturias
7,6. Hotel Soho Boutique Oviedo,SMALL,4.5,Nan,170.0,Vio.com,"https://www.tripadvisor.in/Commerce?p=Vio&src=241230017&geo=6528405&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=5&silo=47458&bucket=997778&nrank=2&crank=4&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=ujC7YpeIwtGt5I64dtt8Yarl3IbQNYJb26Ca5uECY8p4fSsavvtt8hvp1nmKxJ2TCtbseAJqJvZa1nrTJCEzgifVT-NsZdAr_286iw672kmmcb5IFbnSYM1iVD_jmIQpNArJm_vqAssVLZ5_oJX2biekCZzHdvm8mCRciplM0owguq14L7z4EtCK67TBPuk28KxbdD7FqRhn83F6Z8QFJm23NgC94qV3zn83OlUcz9AJIruoSdkvfnFBHVP8Q8D9mJiKR_W7V9CY0cMm4aiYPUgQPvQR0hB_GOznTmMWCig&priceShown=169&pm=AI&hac=AVAILABLE&mbl=BEAT&mbldelta=0&rq=P&rate=153.89&taxesRate=15.3800&feesRate=0&fees=15.3800&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_104c7c081549277387bd685354930e07&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=b8bfd5e1-92d3-4b99-9fbd-7c5381cdd065&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=18128115e9464baca7840fc46c4a99f35&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=a097380196e04ae9999fc929fd027551&tp=APS-Hotels&pageLocId=187449",Asturias
8,7. Hotel Miracielos,Nan,4.5,Nan,68.0,Booking.com,"https://www.tripadvisor.in/Commerce?p=BookingCom&src=32499497&geo=487972&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=4&silo=10476&bucket=902999&nrank=1&crank=1&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=MWEI7XimvD83DqQuELQVo2FhESEzyOiVFgAx-HofAbcGDvb3DPhnHJQ68DeGFLWr5IMFC2dINK_cVKiOGJ12FV6UiRMUiP67si6ehWmpnsHs1xb0AXkPI8HFWX4z1ChI22r1tudeq0JBV-LXzKAqo3Xljr3Qea3tZw_FeIA7eDXlrND4ePdPGzB8-1xFzl8TrxXeAe7TLMcGPnrZAZ2iqb_ur16yBVqlKXrujyVK4DvJUFsAAPbsucpF7AOwtBZiWLG2DmoHYw50lwfBLBsvlw&priceShown=68&pm=AI&hac=AVAILABLE&mbl=LOSE&mbldelta=978&rq=P&rate=61.70&taxesRate=6.1700&feesRate=0&fees=6.1700&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_7afa1d1a77e9effa2bbfe6e805a51fb4&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=f317b77b-af42-4bc6-af1c-5a308d344dc5&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=1ae12ee5324456c317af91d7a6168579a&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=58a8404a777d46ea9fcddb92dcabf09f&tp=APS-Hotels&pageLocId=187449",Asturias
9,8. Silken Ciudad Gijon,SMALL,4.0,Nan,136.0,Vio.com,"https://www.tripadvisor.in/Commerce?p=Vio&src=241272966&geo=609808&from=HotelDateSearch_Hotels&slot=1&matchID=1&oos=0&cnt=5&silo=47458&bucket=997778&nrank=2&crank=2&clt=M&ttype=MobileCR&tm=309352839&managed=false&capped=false&gosox=ujC7YpeIwtGt5I64dtt8Yarl3IbQNYJb26Ca5uECY8p4fSsavvtt8hvp1nmKxJ2Tc65VK4x_O7c66t5nU10s7SfVT-NsZdAr_286iw672kmmcb5IFbnSYM1iVD_jmIQpNArJm_vqAssVLZ5_oJX2bhy2_NN4TpUQJeqjW5PysEx2WFPL_EzayP9mEUq2gWzT8KxbdD7FqRhn83F6Z8QFJi2zxYNhnfLN2huV1rzMRvYJIruoSdkvfnFBHVP8Q8D9mJiKR_W7V9CY0cMm4aiYPUgQPvQR0hB_GOznTmMWCig&priceShown=136&pm=AI&hac=AVAILABLE&mbl=BEAT&mbldelta=0&rq=P&rate=123.94&taxesRate=11.9800&feesRate=0&fees=11.9800&cur=EUR&adults=2&child_rm_ages=&inDay=1&outDay=3&rdex=RDEX_3547afdb5c9f8ba15c9d3ddc8338b574&rooms=1&inMonth=11&inYear=2024&outMonth=11&outYear=2024&auid=69b1cb5b-c972-4f9e-9255-c0faa641c77b&def_d=true&bld=L_2,D_12,G_2,W_5,U_1,C_241101,T_17&bh=true&cs=1c7f9faf7d25111648c049db66099ac6b&ik=81e636de27e746a0b24d3e3f2c14ec87&aok=666acc30a41140deb7eb5200c9f3ab4b&tp=APS-Hotels&pageLocId=187449",Asturias
