,ciudad_origen,ciudad_destino,duracion(min),aerolinea,precio,fecha_salida,hora_salida,fecha_llegada,hora_llegada
0,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
1,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
2,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
3,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
4,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
5,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
6,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
7,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
8,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
9,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
10,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
11,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
12,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
13,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
14,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
15,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
16,Madrid,Santiago del Monte,75,Vueling Airlines,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
17,Santiago del Monte,Madrid,75,Vueling Airlines,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
18,Madrid,Santiago del Monte,75,Vueling Airlines,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
19,Santiago del Monte,Madrid,75,Vueling Airlines,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
20,Madrid,Santiago del Monte,75,Vueling Airlines,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
21,Santiago del Monte,Madrid,75,Vueling Airlines,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
22,Madrid,Santiago del Monte,265,Iberia,610.93,2024-11-01,2024-10-20 18:00:00,2024-11-01,2024-10-20 22:25:00
23,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
24,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
25,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 09:45:00,2024-11-03,2024-10-20 11:00:00
26,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
27,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 09:45:00,2024-11-03,2024-10-20 11:00:00
28,Madrid,Santiago del Monte,250,Vueling Airlines,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-01,2024-10-20 22:25:00
29,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
30,Madrid,Santiago del Monte,265,Iberia,610.93,2024-11-01,2024-10-20 18:00:00,2024-11-01,2024-10-20 22:25:00
31,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
32,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
33,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 09:45:00,2024-11-03,2024-10-20 11:00:00
34,Madrid,Santiago del Monte,250,Vueling Airlines,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-01,2024-10-20 22:25:00
35,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
36,Madrid,Santiago del Monte,245,Air Europa,610.93,2024-11-01,2024-10-20 18:55:00,2024-11-01,2024-10-20 23:00:00
37,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
38,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
39,Santiago del Monte,Madrid,230,Vueling Airlines,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
40,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
41,Santiago del Monte,Madrid,230,Vueling Airlines,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
42,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
43,Santiago del Monte,Madrid,230,Vueling Airlines,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
44,Madrid,Santiago del Monte,335,Iberia,610.93,2024-11-01,2024-10-20 13:15:00,2024-11-01,2024-10-20 18:50:00
45,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
46,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
47,Santiago del Monte,Madrid,230,Vueling Airlines,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
48,Madrid,Santiago del Monte,245,Air Europa,610.93,2024-11-01,2024-10-20 18:55:00,2024-11-01,2024-10-20 23:00:00
49,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
50,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
51,Santiago del Monte,Madrid,230,Iberia,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
52,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
53,Santiago del Monte,Madrid,230,Iberia,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
54,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
55,Santiago del Monte,Madrid,230,Iberia,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
56,Madrid,Santiago del Monte,250,Iberia,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-01,2024-10-20 22:25:00
57,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
58,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
59,Santiago del Monte,Madrid,230,Iberia,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
60,Madrid,Santiago del Monte,250,Iberia,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-01,2024-10-20 22:25:00
61,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
62,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
63,Santiago del Monte,Madrid,595,Vueling Airlines,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
64,Madrid,Santiago del Monte,250,Vueling Airlines,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-01,2024-10-20 22:25:00
65,Santiago del Monte,Madrid,595,Vueling Airlines,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
66,Madrid,Santiago del Monte,865,Vueling Airlines,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-02,2024-10-20 08:40:00
67,Santiago del Monte,Madrid,230,Vueling Airlines,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
68,Madrid,Santiago del Monte,250,Iberia,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-01,2024-10-20 22:25:00
69,Santiago del Monte,Madrid,230,Iberia,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
70,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
71,Santiago del Monte,Madrid,595,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
72,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
73,Santiago del Monte,Madrid,595,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
74,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
75,Santiago del Monte,Madrid,595,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
76,Madrid,Santiago del Monte,865,Vueling Airlines,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-02,2024-10-20 08:40:00
77,Santiago del Monte,Madrid,595,Vueling Airlines,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
78,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
79,Santiago del Monte,Madrid,595,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 08:55:00
80,Madrid,Santiago del Monte,865,Iberia,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-02,2024-10-20 08:40:00
81,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 22:15:00,2024-11-03,2024-10-20 23:30:00
82,Madrid,Santiago del Monte,865,Iberia,610.93,2024-11-01,2024-10-20 18:15:00,2024-11-02,2024-10-20 08:40:00
83,Santiago del Monte,Madrid,75,Iberia,610.93,2024-11-03,2024-10-20 17:40:00,2024-11-03,2024-10-20 18:55:00
84,Madrid,Santiago del Monte,1510,Air Europa,610.93,2024-11-01,2024-10-20 07:30:00,2024-11-02,2024-10-20 08:40:00
85,Santiago del Monte,Madrid,1410,Volotea,610.93,2024-11-03,2024-10-20 14:10:00,2024-11-04,2024-10-20 13:40:00
86,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 07:25:00,2024-11-01,2024-10-20 08:40:00
87,Santiago del Monte,Madrid,1235,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 19:35:00
88,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 22:00:00,2024-11-01,2024-10-20 23:15:00
89,Santiago del Monte,Madrid,1235,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 19:35:00
90,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 12:50:00,2024-11-01,2024-10-20 14:05:00
91,Santiago del Monte,Madrid,1235,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 19:35:00
92,Madrid,Santiago del Monte,75,Iberia,610.93,2024-11-01,2024-10-20 16:40:00,2024-11-01,2024-10-20 17:55:00
93,Santiago del Monte,Madrid,1380,Iberia,610.93,2024-11-03,2024-10-20 23:00:00,2024-11-04,2024-10-20 22:00:00
94,Madrid,Santiago del Monte,1330,Binter Canarias,610.93,2024-11-01,2024-10-20 20:40:00,2024-11-02,2024-10-20 18:50:00
95,Santiago del Monte,Madrid,230,Vueling Airlines,610.93,2024-11-03,2024-10-20 09:25:00,2024-11-03,2024-10-20 13:15:00
